INCIDENT_TYPE,IncidentRole,FILENUM,CASENUM,Time Occurred,Date Occurred,OCCURRED_DAY,STREET_N,STREET,CITY,STATE,ZIPCODE,PRECINCT,Incident Precinct,UoF_1,UoF_1_Zones,UoF_1_Effective,UoF_1_Deployed_Only,UoF_1_Arc_Display_Only,UoF_2,UoF_2_Zones,UoF_2_Effective,UoF_2_Deployed_Only,UoF_2_Arc_Display_Only,UoF_3,UoF_3_Zones,UoF_3_Effective,UoF_3_Deployed_Only,UoF_3_Arc_Display_Only,UoF_4,UoF_4_Zones,UoF_4_Effective,UoF_4_Deployed_Only,UoF_4_Arc_Display_Only,UoF_5,UoF_5_Zones,UoF_5_Effective,UoF_5_Deployed_Only,UoF_5_Arc_Display_Only,UoF_6,UoF_6_Zones,UoF_6_Effective,UoF_6_Deployed_Only,UoF_6_Arc_Display_Only,UoF_7,UoF_7_Zones,UoF_7_Effective,UoF_7_Deployed_Only,UoF_7_Arc_Display_Only,UoF_8,UoF_8_Zones,UoF_8_Effective,UoF_8_Deployed_Only,UoF_8_Arc_Display_Only,UoF_9,UoF_9_Zones,UoF_9_Effective,UoF_9_Deployed_Only,UoF_9_Arc_Display_Only,UoF_10,UoF_10_Zones,UoF_10_Effective,UoF_10_Deployed_Only,UoF_10_Arc_Display_Only,CIT_INFL_ASSMT,IN_BLUETEAM,STATUS,LL Used,40MM,BB,BB - OC,OC Can,OC Spray,CS Can,CS,Chem Other,FN303,BlueNose,Sting,NFDD,PB Launch,Baton,Orange,Other Wpn,Total
Level 2 - Use of Force,Officer,2020UOF-0707,2020-176553,20:20:00,5/29/20,Friday,900,5 Av,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0918,2020-176553,21:15:00,5/29/20,Friday,,5 AV / Madison ST,seattle,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,"1, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0919,2020-176553,19:00:00,5/29/20,Friday,,,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0572,2020-176553,23:25:00,5/29/20,Friday,,200 Block S Main St,Seattle,WA,,K3 | KING | WEST,Demonstration,Chemical Agent – OC Spray,"1, 14",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0573,2020-176553,1:25:00,5/30/20,Saturday,1100,Broadway,Seattle,WA,,,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0741,2020-176553,23:53:00,5/29/20,Friday,,2 AV S / S Jackson St,Seatte,WA,,K2 | KING | WEST,Demonstration,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0815,2020-176553,20:30:00,5/29/20,Friday,900,5 Av,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,"1, 11",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0816,2020-176553,16:00:00,5/30/20,Saturday,401,Pine St,seatte,WA,,M3 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0842,2020-176553,23:23:00,5/29/20,Friday,12th Ave,Marion St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIT / Behavioral Crisis Event,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0988,2020-176553,20:45:00,5/29/20,Friday,900,5 AV,Seattle,WA,98121,K1 | KING | WEST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0610,2020-176553,23:54:00,5/29/20,Friday,200 Blk,S Jackson St,Seattle,WA,,K1 | KING | WEST,Demonstration,Balls - Blast,,Yes,Yes,,Blue Nose Device,10,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0814,2020-176553,20:33:00,5/29/20,Friday,900,5 Ave,Seattle,WA,98101,K1 | KING | WEST,Demonstration,Balls - Blast,26,No,No,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0706,2020-176553,1:30:00,5/30/20,Saturday,,Broadway Av E / E Madison St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0841,2020-176553,19:00:00,5/29/20,Friday,,5 AV / Madison ST,Seattle,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0611,2020-176553,19:35:00,5/29/20,Friday,900,5 ave,Seattle,WA,98104,M3 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,"7, 9, 1",Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,2,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0812,2020-176553,20:00:00,5/29/20,Friday,,5th Avenue / Marion Street,Seattle,WA,,M1 | MARY | WEST,Demonstration,Balls - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0571,2020-176553,0:25:00,5/30/20,Saturday,200,S Jackson St,seattle,WA,98124,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0701,2020-176553,19:00:00,5/29/20,Friday,1000,5 AV,Seattle,WA,98101,K1 | KING | WEST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-1026,2020-176553,20:32:00,5/29/20,Friday,900,Blk 5 Av,Seattle,WA,,K1 | KING | WEST,Demonstration,Balls - Blast,,No,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0813,2020-176553,20:25:00,5/29/20,Friday,800,5 Av,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Balls - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,26,Yes,No,,Balls - Blast,26,Yes,No,,Balls - OC,26,Yes,No,,,,,,,,,,,,,,,,,,Yes,Initial,7,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7
Level 2 - Use of Force,Officer,2020UOF-0637,2020-176553,1:24:00,5/30/20,Saturday,1100,Broadway,Seattle,WA,,,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Blue Nose Device,10,Yes,No,,Blue Nose Device,12,Yes,No,,,,,,,,,,,,,,,,,,Yes,Initial,7,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
Level 2 - Use of Force,Officer,2020UOF-0989,2020-177015,15:10:00,5/30/20,Saturday,1500,4 AV,Seattle,WA,98121,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 1 - Use of Force,Officer,2020UOF-0608,2020-177015,14:00:00,5/30/20,Saturday,500,Olive Way,Seattle,WA,98101,D2 | DAVID | WEST,Demonstration,Personal Weapons – Push,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0898,2020-177015,,5/30/20,Saturday,,5 Ave / Pine ST,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Personal Weapons – Punch/Elbow,8,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1193,2020-177015,12:00:00,5/30/20,Saturday,,5 Av / Pine St,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1344,2020-177015,12:00:00,5/30/20,Saturday,610,5th AVE,SEATTLE,WA,98124,M2 | MARY | WEST,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1408,2020-177015,12:00:00,5/30/20,Saturday,,400 Pine St,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1663,2020-177015,12:00:00,5/30/20,Saturday,,5 Av / Pine St,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1685,2020-177015,19:30:00,5/30/20,Saturday,,5 Av / Pine St,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0590,2020-177015,16:30:00,5/30/20,Saturday,610,5 Ave,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0591,2020-177015,21:00:00,5/30/20,Saturday,300,Seneca St,Seattle,WA,,M3 | MARY | WEST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0593,2020-177015,22:51:00,5/29/20,Friday,900,12 Ave,Seattle,WA,98122,C1 | CHARLIE | EAST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0636,2020-177015,21:30:00,5/30/20,Saturday,500,Pine St,Seattle,WA,98104,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0639,2020-177015,0:30:00,5/31/20,Sunday,600,Pine St,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0642,2020-177015,16:40:00,5/30/20,Saturday,,5 AV & Cherry St,Seattle,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0651,2020-177015,15:45:00,5/30/20,Saturday,1500,5 Ave,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0654,2020-177015,23:30:00,5/30/20,Saturday,800,Pike ST,Seattle,WA,,M2 | MARY | WEST,Demonstration,Canister - CS,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0662,2020-177015,16:35:00,5/30/20,Saturday,,610 5 Av,Seattle,WA,98104,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0705,2020-177015,16:20:00,5/30/20,Saturday,1100,4 AV,SEATTLE,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0711,2020-177015,15:00:00,5/30/20,Saturday,610,5 av,Seattle,WA,,K1 | KING | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0743,2020-177015,16:30:00,5/30/20,Saturday,500,Pine St,Seattle,WA,98101,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0744,2020-177015,15:42:00,5/30/20,Saturday,500,Pine St,Seattle,WA,,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0817,2020-177015,18:45:00,5/30/20,Saturday,,9th and pine,Seattle,WA,,M3 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0820,2020-177015,15:40:00,5/30/20,Saturday,400,Pine St,Seattle,WA,98101,M1 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,7,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0823,2020-177015,14:40:00,5/30/20,Saturday,1500,5 ave,Seattle,WA,,M3 | MARY | WEST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0824,2020-177015,22:40:00,5/30/20,Saturday,700,Pine St,Seattle,WA,98101,M1 | MARY | WEST,Demonstration,Canister - CS,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0845,2020-177015,18:50:00,5/30/20,Saturday,800,Pine St,Seattle,WA,98101,D1 | DAVID | WEST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIT / Behavioral Crisis Event,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0848,2020-177015,18:49:00,5/30/20,Saturday,810,Pine St,Seattle,WA,,M2 | MARY | WEST,Demonstration,Chemical Agent – OC Spray,7,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0897,2020-177015,16:00:00,5/30/20,Saturday,500,Pine St,Seattle,WA,,M3 | MARY | WEST,Demonstration,Balls - Blast,"13, 11",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
